Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit,Sales_capped,Profit_capped,Sales_norm,Quantity_norm,Discount_norm,Profit_norm,Category_enc,Segment_enc,Region_Central,Region_East,Region_South,Region_West,Ship_First Class,Ship_Same Day,Ship_Second Class,Ship_Standard Class,Month,is_outlier
ORD-10000,2023-04-13,2023-04-14,Same Day,Customer_224,Consumer,West,New York,Office Supplies,Binders,60.97,4.0,0.0,14.23,60.97,14.23,0.0885695861504195,0.2307692307692307,0.0,0.4103289791969037,1,0,False,False,False,True,False,True,False,False,2023-04-01,False
ORD-10001,2024-03-11,2024-03-12,Standard Class,Customer_109,Corporate,West,Texas,Office Supplies,Art,96.44,7.0,0.4,-4.22,96.44,-4.22,0.1446989987063492,0.4615384615384615,0.8,0.3210691823899371,1,1,False,False,False,True,False,False,False,True,2024-03-01,False
ORD-10002,2023-09-28,2023-09-29,Standard Class,Customer_188,Consumer,East,Ohio,Office Supplies,Labels,41.07,12.0,0.1,6.36,41.07,6.36,0.0570788810513781,0.8461538461538461,0.2,0.3722544750846637,1,0,False,True,False,False,False,False,False,True,2023-09-01,False
ORD-10003,2023-04-17,2023-04-20,First Class,Customer_76,Home Office,East,Georgia,Furniture,Tables,173.74,13.0,0.15,48.38,173.74,48.38,0.2670221898699624,0.9230769230769232,0.3,0.5755442670537011,0,2,False,True,False,False,True,False,False,False,2023-04-01,False
ORD-10004,2023-03-13,2023-03-19,Standard Class,Customer_17,Corporate,West,Pennsylvania,Office Supplies,Storage,32.94,2.0,0.1,9.67,32.94,9.67,0.0442135829380511,0.0769230769230769,0.2,0.3882680212868892,1,1,False,False,False,True,False,False,False,True,2023-03-01,False
ORD-10005,2024-12-01,2024-12-04,Standard Class,Customer_47,Corporate,West,Florida,Furniture,Tables,90.59,5.0,0.0,34.31,90.59,34.31,0.1354416808757264,0.3076923076923077,0.0,0.5074746008708273,0,1,False,False,False,True,False,False,False,True,2024-12-01,False
ORD-10006,2023-01-21,2023-01-27,Standard Class,Customer_216,Consumer,West,Illinois,Office Supplies,Art,31.32,8.0,0.1,1.62,31.32,1.62,0.0416500180003402,0.5384615384615384,0.2,0.3493226898887276,1,0,False,False,False,True,False,False,False,True,2023-01-01,False
ORD-10007,2024-09-06,2024-09-07,Standard Class,Customer_298,Corporate,Central,Florida,Office Supplies,Storage,64.36,7.0,0.0,19.82,64.36,19.82,0.0939340831497035,0.4615384615384615,0.0,0.4373730043541364,1,1,True,False,False,False,False,False,False,True,2024-09-01,False
ORD-10008,2023-05-02,2023-05-07,Standard Class,Customer_68,Corporate,West,Georgia,Office Supplies,Labels,68.31,7.0,0.15,10.87,68.31,10.87,0.1001847507447393,0.4615384615384615,0.3,0.3940735365263667,1,1,False,False,False,True,False,False,False,True,2023-05-01,False
ORD-10009,2024-04-11,2024-04-17,Second Class,Customer_168,Home Office,South,Texas,Office Supplies,Binders,43.77,6.0,0.1,8.04,43.77,8.04,0.0613514892808963,0.3846153846153846,0.2,0.3803821964199323,1,2,False,False,True,False,False,False,True,False,2024-04-01,False
